iter	Passed	Remaining
0	41	41916
1	78	39011
2	105	35154
3	134	33545
4	162	32244
5	191	31648
6	221	31355
7	249	30956
8	279	30745
9	307	30434
10	337	30339
11	365	30091
12	395	30030
13	423	29841
14	453	29795
15	481	29636
16	513	29693
17	553	30189
18	592	30596
19	627	30756
20	666	31083
21	702	31229
22	734	31187
23	764	31085
24	794	30986
25	824	30892
26	853	30768
27	882	30648
28	912	30550
29	942	30468
30	973	30424
31	1003	30360
32	1035	30329
33	1066	30289
34	1116	30785
35	1154	30916
36	1186	30876
37	1219	30878
38	1249	30792
39	1277	30656
40	1305	30526
41	1336	30480
42	1364	30357
43	1394	30293
44	1422	30197
45	1451	30103
46	1481	30042
47	1512	29991
48	1541	29923
49	1571	29856
50	1603	29833
51	1631	29748
52	1662	29711
53	1692	29656
54	1720	29564
55	1749	29490
56	1778	29418
57	1807	29363
58	1870	29830
59	1903	29813
60	1934	29784
61	1965	29729
62	1994	29662
63	2024	29605
64	2052	29527
65	2082	29475
66	2111	29401
67	2140	29338
68	2172	29315
69	2202	29261
70	2231	29200
71	2261	29146
72	2290	29084
73	2318	29018
74	2350	28986
75	2383	28973
76	2411	28908
77	2442	28869
78	2471	28816
79	2501	28772
80	2531	28721
81	2559	28658
82	2590	28622
83	2620	28574
84	2649	28516
85	2677	28459
86	2707	28411
87	2734	28342
88	2766	28316
89	2795	28261
90	2824	28211
91	2854	28167
92	2882	28116
93	2911	28066
94	2941	28023
95	2971	27985
96	3001	27943
97	3029	27888
98	3059	27841
99	3087	27787
100	3116	27742
101	3144	27687
102	3174	27646
103	3204	27605
104	3232	27557
105	3263	27521
106	3292	27481
107	3323	27446
108	3353	27408
109	3382	27364
110	3411	27322
111	3440	27280
112	3470	27245
113	3500	27203
114	3529	27160
115	3557	27109
116	3587	27076
117	3616	27031
118	3645	26988
119	3674	26948
120	3706	26926
121	3739	26912
122	3769	26878
123	3801	26853
124	3830	26816
125	3861	26784
126	3892	26756
127	3923	26726
128	3954	26702
129	3986	26675
130	4016	26641
131	4045	26602
132	4075	26564
133	4116	26600
134	4166	26697
135	4217	26793
136	4258	26824
137	4299	26857
138	4331	26829
139	4359	26776
140	4388	26738
141	4418	26697
142	4448	26661
143	4480	26632
144	4510	26598
145	4541	26566
146	4570	26522
147	4599	26475
148	4629	26438
149	4658	26397
150	4694	26392
151	4727	26373
152	4757	26335
153	4785	26289
154	4816	26258
155	4845	26216
156	4875	26178
157	4904	26139
158	4934	26101
159	4962	26055
160	4993	26020
161	5022	25981
162	5052	25945
163	5081	25903
164	5110	25860
165	5140	25827
166	5168	25779
167	5198	25742
168	5227	25704
169	5256	25663
170	5284	25621
171	5313	25580
172	5344	25548
173	5374	25514
174	5408	25497
175	5437	25458
176	5466	25419
177	5497	25386
178	5526	25349
179	5556	25310
180	5584	25268
181	5615	25239
182	5653	25237
183	5688	25226
184	5725	25222
185	5764	25226
186	5804	25237
187	5833	25197
188	5863	25160
189	5894	25130
190	5926	25101
191	5955	25061
192	5988	25039
193	6018	25006
194	6052	24984
195	6088	24974
196	6117	24936
197	6146	24898
198	6175	24855
199	6203	24815
200	6234	24783
201	6264	24747
202	6292	24704
203	6321	24667
204	6354	24641
205	6385	24610
206	6414	24573
207	6443	24535
208	6472	24495
209	6501	24459
210	6530	24419
211	6558	24376
212	6587	24341
213	6617	24306
214	6646	24266
215	6676	24232
216	6705	24195
217	6737	24166
218	6765	24127
219	6795	24093
220	6825	24057
221	6855	24026
222	6886	23994
223	6916	23959
224	6945	23923
225	6975	23891
226	7005	23857
227	7035	23820
228	7066	23790
229	7095	23754
230	7125	23720
231	7157	23695
232	7192	23677
233	7223	23646
234	7253	23613
235	7282	23575
236	7313	23543
237	7341	23505
238	7372	23474
239	7401	23436
240	7431	23404
241	7461	23370
242	7489	23331
243	7519	23297
244	7548	23262
245	7577	23225
246	7608	23196
247	7638	23162
248	7666	23123
249	7697	23091
250	7729	23064
251	7758	23030
252	7791	23003
253	7820	22968
254	7848	22929
255	7877	22894
256	7906	22856
257	7934	22819
258	7965	22789
259	7994	22753
260	8024	22719
261	8053	22683
262	8083	22653
263	8113	22618
264	8142	22583
265	8173	22554
266	8204	22524
267	8233	22488
268	8262	22452
269	8291	22418
270	8320	22383
271	8351	22352
272	8381	22319
273	8410	22284
274	8441	22254
275	8469	22217
276	8500	22186
277	8529	22152
278	8559	22119
279	8589	22086
280	8617	22048
281	8646	22014
282	8675	21980
283	8704	21944
284	8733	21909
285	8761	21873
286	8791	21839
287	8820	21807
288	8851	21776
289	8880	21742
290	8910	21709
291	8939	21675
292	8969	21643
293	9000	21613
294	9029	21579
295	9058	21544
296	9089	21515
297	9120	21484
298	9149	21450
299	9178	21415
300	9207	21382
301	9237	21349
302	9265	21314
303	9294	21278
304	9323	21245
305	9353	21213
306	9383	21181
307	9413	21150
308	9444	21120
309	9474	21088
310	9505	21059
311	9535	21026
312	9566	20997
313	9595	20962
314	9624	20929
315	9654	20897
316	9683	20864
317	9713	20832
318	9744	20801
319	9775	20772
320	9804	20738
321	9832	20702
322	9861	20670
323	9892	20639
324	9920	20604
325	9954	20579
326	9984	20549
327	10014	20517
328	10044	20486
329	10074	20453
330	10105	20425
331	10135	20392
332	10165	20360
333	10194	20327
334	10223	20295
335	10253	20262
336	10283	20231
337	10312	20197
338	10340	20162
339	10368	20127
340	10397	20093
341	10426	20060
342	10455	20026
343	10484	19993
344	10514	19962
345	10544	19930
346	10575	19900
347	10604	19868
348	10634	19836
349	10663	19802
350	10692	19769
351	10721	19737
352	10750	19703
353	10780	19673
354	10810	19641
355	10839	19608
356	10869	19576
357	10897	19541
358	10926	19508
359	10957	19480
360	10987	19448
361	11016	19415
362	11046	19384
363	11076	19352
364	11106	19322
365	11135	19288
366	11165	19257
367	11194	19224
368	11222	19191
369	11252	19159
370	11280	19125
371	11310	19094
372	11341	19063
373	11370	19032
374	11399	18998
375	11428	18966
376	11457	18933
377	11488	18904
378	11517	18872
379	11545	18837
380	11574	18804
381	11603	18771
382	11635	18744
383	11663	18710
384	11692	18677
385	11721	18644
386	11752	18615
387	11783	18585
388	11812	18554
389	11842	18522
390	11871	18490
391	11901	18458
392	11929	18425
393	11959	18394
394	11989	18363
395	12018	18331
396	12048	18299
397	12077	18268
398	12108	18238
399	12140	18210
400	12168	18177
401	12197	18144
402	12227	18113
403	12257	18082
404	12287	18051
405	12316	18020
406	12347	17990
407	12377	17959
408	12407	17929
409	12435	17894
410	12464	17862
411	12495	17833
412	12525	17802
413	12555	17771
414	12584	17739
415	12613	17707
416	12642	17675
417	12672	17645
418	12701	17612
419	12730	17580
420	12759	17548
421	12790	17518
422	12818	17485
423	12847	17452
424	12877	17422
425	12907	17391
426	12936	17359
427	12967	17330
428	12996	17298
429	13026	17267
430	13054	17234
431	13085	17205
432	13114	17173
433	13145	17143
434	13175	17113
435	13203	17079
436	13231	17046
437	13260	17014
438	13290	16983
439	13319	16951
440	13348	16920
441	13377	16888
442	13406	16856
443	13435	16824
444	13462	16790
445	13493	16761
446	13522	16729
447	13551	16697
448	13581	16666
449	13610	16634
450	13639	16603
451	13669	16572
452	13700	16543
453	13730	16512
454	13758	16479
455	13786	16447
456	13817	16418
457	13848	16388
458	13877	16356
459	13907	16326
460	13934	16292
461	13966	16263
462	13995	16232
463	14026	16203
464	14056	16172
465	14086	16141
466	14116	16111
467	14145	16080
468	14175	16049
469	14204	16018
470	14235	15988
